NodeID,CogsnetVector
135,"0.714605,0.685415,0.799281,0.814175,0.820617,0.814103,0.720403,0.835647,0.533889,0.758591,0.782881,0.871327,0.742158,0.746831,0.755824,0.760535,0.894358,0.710438,0.806946,0.795944,0.769810,0.819476,0.843891,0.760853,0.706190,0.762490,0.683063,0.648022,0.762724,0.698893,0.000000,0.731314,0.625215,0.721960,0.000000,0.642077,0.643485,0.000000,0.884314,0.000000,0.492271,0.618454,0.618159,0.711982,0.688787,0.715208,0.881362,0.678835,0.819978,0.458982,0.502275,0.650966,0.575420,0.000000,0.000000,0.777699,0.701311,0.760456,0.000000,0.509508,0.453147,0.776092,0.570572,0.000000,0.000000,0.000000,0.569637,0.319750,0.701694,0.710003,0.693092,0.644988,0.491606,0.683812,0.000000,0.680924,0.667271,0.000000,0.540978,0.874755,0.707492,0.457508,0.698810,0.801445,0.604925,0.738478,0.971319,0.853762,0.289938,0.825787,0.819877"
150,"0.579358,0.766460,0.493681,0.725961,0.756656,0.862335,0.616610,0.844731,0.663046,0.740323,0.728874,0.645294,0.000000,0.785263,0.723881,0.776023,0.000000,0.000000,0.000000,0.525691,0.663441,0.819765,0.491262,0.000000,0.778125,0.663798,0.742768,0.805719,0.480666,0.338750,0.000000,0.545767,0.000000,0.382131,0.615337,0.765040,0.000000,0.000000,0.539171,0.000000,0.624860,0.457678,0.741840,0.000000,0.635185,0.753441,0.000000,0.826262,0.888801,0.481386,0.583152,0.000000,0.483003,0.431106,0.682389,0.000000,0.630047,0.896806,0.856700,0.500174,0.399691,0.000000,0.514649,0.000000,0.975644,0.713628,0.473318,0.685844,0.430217,0.442205,0.386463,0.000000,0.568808,0.441384,0.000000,0.617942,0.246560,0.449613,0.000000,0.702008,0.797257,0.375658,0.400868,0.805226,0.916280,0.222416,0.754796,0.895083,0.690408,0.763705,0.729272"
91,"0.567101,0.597972,0.802161,0.693864,0.000000,0.730742,0.411254,0.481093,0.616022,0.000000,0.694184,0.400411,0.000000,0.789188,0.828200,0.765466,0.000000,0.855899,0.891500,0.749763,0.807077,0.839935,0.885824,0.000000,0.000000,0.649907,0.000000,0.000000,0.000000,0.423297,0.000000,0.505271,0.000000,0.494015,0.630078,0.000000,0.000000,0.000000,0.662496,0.000000,0.566870,0.000000,0.000000,0.822671,0.000000,0.000000,0.637500,0.000000,0.440836,0.000000,0.395153,0.000000,0.882533,0.000000,0.000000,0.832851,0.000000,0.719054,0.000000,0.572145,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.651331,0.487192,0.397803,0.000000,0.000000,0.000000,0.000000,0.000000,0.486063,0.639272,0.000000,0.512885,0.417398,0.000000,0.397888,0.000000,0.000000,0.649799,0.000000,0.663946"
66,"0.437952,0.655845,0.484497,0.522952,0.528013,0.784651,0.786896,0.535024,0.662289,0.904764,0.475595,0.518754,0.369235,0.000000,0.439928,0.705583,0.000000,0.000000,0.000000,0.493277,0.680234,0.492314,0.578503,0.000000,0.808573,0.640168,0.657752,0.733923,0.424221,0.417764,0.000000,0.971771,0.903102,0.874540,0.920106,0.921159,0.739139,0.000000,0.000000,0.702128,0.000000,0.683774,0.000000,0.000000,0.000000,0.279394,0.565027,0.581781,0.000000,0.000000,0.596589,0.000000,0.869315,0.000000,0.247477,0.425249,0.975745,0.677684,0.909467,0.000000,0.000000,0.367474,0.746078,0.837595,0.000000,0.000000,0.877445,0.000000,0.000000,0.830300,0.847284,0.000000,0.000000,0.758153,0.000000,0.607395,0.618114,0.462880,0.912444,0.820350,0.701500,0.000000,0.671572,0.904609,0.470453,0.000000,0.934176,0.920388,0.303270,0.000000,0.711085"
89,"0.670743,0.818356,0.614289,0.635298,0.671869,0.673632,0.786896,0.577003,0.746472,0.451559,0.328326,0.000000,0.000000,0.000000,0.000000,0.290489,0.000000,0.000000,0.000000,0.000000,0.000000,0.475049,0.000000,0.000000,0.000000,0.398746,0.000000,0.000000,0.465508,0.432523,0.000000,0.894140,0.559007,0.819446,0.920106,0.864630,0.893216,0.731052,0.000000,0.000000,0.792291,0.000000,0.489568,0.883741,0.000000,0.353985,0.565027,0.497692,0.000000,0.456090,0.595807,0.908496,0.000000,0.656479,0.647297,0.791213,0.941146,0.717887,0.909467,0.408811,0.000000,0.760773,0.853663,0.887910,0.896582,0.000000,0.901302,0.000000,0.000000,0.830300,0.826817,0.000000,0.000000,0.823628,0.643472,0.838181,0.804795,0.406507,0.751129,0.882797,0.608983,0.000000,0.901061,0.000000,0.000000,0.000000,0.000000,0.000000,0.205167,0.482117,0.000000"
143,"0.522250,0.641955,0.771553,0.607282,0.580350,0.649300,0.608337,0.829974,0.801940,0.000000,0.796231,0.577212,0.000000,0.699180,0.822577,0.706171,0.703416,0.654019,0.000000,0.657214,0.706250,0.660416,0.876596,0.934062,0.748529,0.758996,0.858675,0.457101,0.853092,0.549341,0.000000,0.583658,0.000000,0.866471,0.572197,0.751907,0.744512,0.761381,0.860174,0.825021,0.797732,0.573922,0.739086,0.803655,0.807528,0.666939,0.000000,0.837220,0.637630,0.697716,0.828091,0.000000,0.622253,0.708902,0.392524,0.000000,0.848619,0.686974,0.000000,0.777501,0.756305,0.655206,0.644696,0.000000,0.535622,0.552987,0.334473,0.639842,0.000000,0.728430,0.000000,0.395132,0.844596,0.000000,0.000000,0.586127,0.000000,0.706636,0.604532,0.000000,0.702734,0.000000,0.580349,0.462317,0.901110,0.801614,0.493461,0.884033,0.648218,0.704481,0.862453"
133,"0.624442,0.764326,0.751859,0.739284,0.806740,0.849297,0.770515,0.826938,0.870078,0.786680,0.784379,0.819461,0.885199,0.769482,0.817158,0.737534,0.622613,0.729474,0.774126,0.706632,0.550768,0.807361,0.686739,0.927777,0.797666,0.636707,0.703258,0.603709,0.710507,0.692366,0.000000,0.813618,0.806295,0.590878,0.368190,0.728649,0.859292,0.823022,0.701316,0.000000,0.576167,0.650377,0.741615,0.717271,0.720920,0.874282,0.843969,0.794246,0.465141,0.734519,0.578508,0.788935,0.806293,0.705466,0.813138,0.670555,0.667003,0.864436,0.762320,0.786309,0.603062,0.702840,0.771072,0.860357,0.000000,0.000000,0.644207,0.000000,0.746268,0.406681,0.328627,0.590515,0.346915,0.661184,0.594692,0.747148,0.732121,0.833190,0.650913,0.000000,0.668789,0.781067,0.765346,0.658205,0.746736,0.504386,0.697053,0.678192,0.772395,0.846662,0.763217"
19,"0.775714,0.836691,0.837245,0.811499,0.877523,0.819365,0.735391,0.865260,0.777649,0.773331,0.779361,0.856475,0.000000,0.852723,0.796263,0.740889,0.770845,0.000000,0.488769,0.659037,0.789846,0.878293,0.818566,0.903923,0.844423,0.830713,0.000000,0.882986,0.632615,0.660582,0.000000,0.869217,0.678943,0.787412,0.625237,0.780731,0.759905,0.638601,0.649148,0.000000,0.634780,0.769386,0.720380,0.688863,0.595462,0.763611,0.743414,0.735990,0.796462,0.716789,0.537851,0.788868,0.630021,0.704041,0.796374,0.665633,0.777883,0.777860,0.651231,0.712930,0.783562,0.799984,0.840981,0.876786,0.859789,0.324508,0.676333,0.000000,0.576477,0.752722,0.749555,0.707515,0.631378,0.714171,0.785618,0.854023,0.752012,0.763367,0.386878,0.491883,0.699715,0.679716,0.884225,0.760320,0.758093,0.370291,0.291964,0.608056,0.685126,0.665218,0.719360"
73,"0.812621,0.809571,0.763068,0.718520,0.626312,0.808673,0.723982,0.812123,0.749747,0.838179,0.762476,0.000000,0.819010,0.664713,0.646607,0.715153,0.870054,0.827422,0.650946,0.872502,0.415082,0.713231,0.643629,0.738959,0.889002,0.553284,0.604175,0.526746,0.736408,0.595467,0.000000,0.829870,0.000000,0.948486,0.489593,0.644648,0.913439,0.468800,0.897139,0.862547,0.839531,0.913941,0.965708,0.893181,0.000000,0.000000,0.871909,0.931690,0.915196,0.590452,0.000000,0.725618,0.730214,0.768630,0.979541,0.000000,0.928946,0.707227,0.716739,0.842850,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.561905,0.769679,0.924051,0.949202,0.952279,0.773313,0.882319,0.899312,0.884454"
144,"0.438166,0.656981,0.813532,0.700646,0.000000,0.750056,0.667748,0.763875,0.703629,0.487824,0.613417,0.000000,0.606919,0.000000,0.707748,0.647054,0.735567,0.000000,0.538197,0.431971,0.000000,0.000000,0.598847,0.540864,0.561415,0.398743,0.578305,0.000000,0.000000,0.441547,0.000000,0.000000,0.265785,0.561157,0.000000,0.806676,0.000000,0.000000,0.235404,0.738630,0.649024,0.428915,0.557818,0.700070,0.000000,0.000000,0.000000,0.704947,0.737646,0.442927,0.000000,0.644844,0.000000,0.000000,0.611530,0.929323,0.927780,0.787391,0.909397,0.816241,0.000000,0.804227,0.000000,0.000000,0.679330,0.771420,0.867850,0.000000,0.794716,0.826382,0.819490,0.927249,0.450904,0.685739,0.607581,0.785312,0.000000,0.768621,0.838389,0.000000,0.767438,0.000000,0.493268,0.657034,0.000000,0.000000,0.777692,0.871778,0.629285,0.751211,0.615051"
