NodeID,CogsnetVector
135,"5.716841,6.854154,3.197125,5.699224,3.282466,2.442309,2.161209,6.685179,2.135557,5.310139,9.394567,2.613982,5.195108,5.974647,6.802414,3.042140,0.894358,3.552191,0.806946,11.143222,8.467907,6.555806,5.063347,1.521706,2.118571,2.287470,0.683063,8.424285,3.050895,7.687825,0.000000,10.969714,3.126077,11.551364,0.000000,5.778696,2.573940,0.000000,1.768628,0.000000,3.938166,3.710726,0.618159,2.135947,1.377573,5.006459,0.881362,2.036506,0.819978,2.294909,3.013649,2.603866,4.603360,0.000000,0.000000,1.555397,4.909175,4.562737,0.000000,2.038034,2.265737,5.432642,2.852858,0.000000,0.000000,0.000000,1.139274,1.918502,2.806777,4.260018,4.158549,3.869926,0.983212,4.102875,0.000000,3.404621,2.001812,0.000000,1.081956,0.874755,4.952447,2.287539,3.494051,4.808667,3.024625,8.123256,0.971319,1.707524,1.449690,9.909450,5.739138"
150,"2.317431,6.898142,0.987363,3.629803,2.269967,0.862335,1.233221,3.378925,5.967412,2.961290,5.102120,0.645294,0.000000,2.355788,0.723881,1.552046,0.000000,0.000000,0.000000,5.782597,9.288172,4.098824,0.982525,0.000000,2.334376,1.327595,2.228305,0.805719,0.480666,2.032501,0.000000,3.820371,0.000000,1.146394,1.230675,2.295119,0.000000,0.000000,1.078341,0.000000,3.749157,0.915356,2.225520,0.000000,1.905556,4.520644,0.000000,2.478786,0.888801,0.481386,1.166304,0.000000,5.796035,0.431106,3.411945,0.000000,3.150234,0.896806,0.856700,1.500522,0.799382,0.000000,3.602543,0.000000,0.975644,1.427255,2.366592,0.685844,0.860433,0.442205,0.772927,0.000000,1.706424,1.324151,0.000000,0.617942,0.246560,0.449613,0.000000,0.702008,3.189030,0.375658,3.206943,2.415678,0.916280,0.889666,4.528777,1.790166,1.380816,3.818527,1.458544"
91,"1.134203,1.793916,1.604322,0.693864,0.000000,0.730742,0.411254,0.481093,1.232044,0.000000,2.776735,0.400411,0.000000,0.789188,1.656399,2.296398,0.000000,0.855899,0.891500,1.499525,1.614155,3.359740,0.885824,0.000000,0.000000,0.649907,0.000000,0.000000,0.000000,2.539783,0.000000,2.526356,0.000000,0.494015,0.630078,0.000000,0.000000,0.000000,1.987487,0.000000,1.133741,0.000000,0.000000,0.822671,0.000000,0.000000,0.637500,0.000000,0.440836,0.000000,0.395153,0.000000,0.882533,0.000000,0.000000,0.832851,0.000000,2.157161,0.000000,1.144289,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.651331,0.487192,0.795606,0.000000,0.000000,0.000000,0.000000,0.000000,0.486063,2.557088,0.000000,1.538654,1.252194,0.000000,0.397888,0.000000,0.000000,0.649799,0.000000,0.663946"
66,"0.437952,2.623380,0.484497,4.183618,1.056026,2.353954,0.786896,1.605072,2.649155,0.904764,0.951191,0.518754,0.738470,0.000000,0.439928,2.116750,0.000000,0.000000,0.000000,1.973106,0.680234,0.492314,0.578503,0.000000,1.617145,1.280336,0.657752,1.467845,0.848442,2.924351,0.000000,0.971771,0.903102,0.874540,0.920106,1.842318,2.217417,0.000000,0.000000,0.702128,0.000000,0.683774,0.000000,0.000000,0.000000,0.838183,0.565027,1.163562,0.000000,0.000000,1.193178,0.000000,0.869315,0.000000,0.494953,1.275748,0.975745,2.710738,0.909467,0.000000,0.000000,1.469897,1.492156,0.837595,0.000000,0.000000,0.877445,0.000000,0.000000,0.830300,0.847284,0.000000,0.000000,1.516306,0.000000,1.214790,3.090570,0.925760,0.912444,1.640700,1.403000,0.000000,1.343145,0.904609,0.940906,0.000000,0.934176,0.920388,0.909810,0.000000,0.711085"
89,"1.341486,3.273425,1.228578,84.494621,1.343739,6.062688,0.786896,1.731008,1.492944,0.451559,0.656653,0.000000,0.000000,0.000000,0.000000,1.161955,0.000000,0.000000,0.000000,0.000000,0.000000,0.475049,0.000000,0.000000,0.000000,0.398746,0.000000,0.000000,0.931017,1.730093,0.000000,1.788279,1.677021,2.458339,0.920106,0.864630,2.679649,1.462104,0.000000,0.000000,0.792291,0.000000,0.979135,0.883741,0.000000,1.769926,0.565027,1.493075,0.000000,0.912181,0.595807,0.908496,0.000000,0.656479,1.294595,3.164853,1.882292,1.435774,0.909467,0.408811,0.000000,1.521547,2.560989,1.775820,1.793164,0.000000,1.802603,0.000000,0.000000,0.830300,1.653634,0.000000,0.000000,1.647256,1.286943,1.676362,1.609590,1.626027,2.253386,0.882797,1.826950,0.000000,0.901061,0.000000,0.000000,0.000000,0.000000,0.000000,0.410334,0.482117,0.000000"
143,"2.089002,5.135643,1.543107,1.821847,1.741050,1.298600,2.433348,3.319898,3.207759,0.000000,1.592462,1.731637,0.000000,0.699180,2.467732,2.824685,1.406832,1.308038,0.000000,1.971643,1.412501,4.622910,2.629787,0.934062,2.245586,1.517991,2.576024,1.371302,1.706184,3.296043,0.000000,2.334631,0.000000,1.732942,1.716591,3.007627,5.211586,1.522762,4.300869,0.825021,0.797732,1.721767,0.739086,1.607310,1.615056,2.000817,0.000000,1.674439,1.275259,0.697716,0.828091,0.000000,1.244505,2.126706,1.570095,0.000000,1.697239,2.060922,0.000000,0.777501,0.756305,1.965618,1.289393,0.000000,2.142486,2.211947,0.668947,1.919526,0.000000,2.185289,0.000000,0.395132,0.844596,0.000000,0.000000,1.172254,0.000000,1.413273,2.418126,0.000000,2.108202,0.000000,1.160698,2.773901,2.703330,2.404841,0.493461,0.884033,1.296436,4.226885,1.724905"
133,"3.122210,6.878932,3.759294,9.610688,3.226958,10.191560,6.934635,4.961627,8.700784,2.360039,13.334446,1.638923,4.425995,3.077928,7.354421,9.587936,3.735679,7.294736,3.096505,7.772950,2.753839,2.422083,4.120435,0.927777,5.583661,4.456947,5.626060,3.018544,4.973547,9.000764,0.000000,6.508946,3.225180,2.363511,1.104569,3.643248,2.577877,1.646044,4.207897,0.000000,2.880834,3.251886,3.708077,5.020896,1.441840,1.748565,2.531907,3.176983,0.930281,5.141634,0.578508,3.944673,8.062927,2.116399,4.878825,2.682222,2.668010,4.322180,2.286960,4.717854,0.603062,7.028397,3.084290,0.860357,0.000000,0.000000,1.288413,0.000000,1.492536,0.813363,1.643134,4.724118,1.734577,1.983551,2.378769,2.988593,5.124846,2.499571,0.650913,0.000000,4.681524,1.562135,5.357425,3.949232,5.227152,2.017543,2.788212,7.460108,6.179162,5.926632,2.289651"
19,"3.878572,5.856834,2.511736,3.245997,0.877523,3.277459,2.206174,0.865260,3.110596,3.093322,3.117445,0.856475,0.000000,0.852723,1.592525,2.222667,1.541690,0.000000,0.977537,6.590370,2.369537,0.878293,2.455697,2.711768,2.533270,2.492139,0.000000,1.765971,1.265230,9.908723,0.000000,3.476869,2.036829,2.362237,2.500948,3.122926,1.519811,0.638601,3.245738,0.000000,3.173899,3.077543,2.881522,3.444314,1.786385,3.054445,1.486827,3.679948,1.592924,6.451100,0.537851,4.733207,6.300214,2.112123,4.778242,3.328163,4.667298,6.222879,2.604923,7.129297,4.701374,7.999840,1.681961,1.753571,0.859789,0.973525,3.381663,0.000000,4.611819,2.258167,5.246887,5.660120,1.894134,7.141713,5.499325,3.416090,4.512073,4.580200,1.160633,0.491883,5.597718,1.359432,2.652674,1.520639,3.032372,0.370291,0.875893,4.256389,2.055379,3.991310,1.438720"
73,"4.063103,6.476566,3.052272,6.466683,0.626312,4.043366,2.171946,2.436368,4.498479,2.514537,4.574859,0.000000,3.276040,1.329427,2.586426,2.860611,4.350268,2.482265,0.650946,2.617506,0.830164,4.279385,1.930888,0.738959,1.778003,69.160507,9.062631,1.053491,3.682040,4.168268,0.000000,2.489609,0.000000,0.948486,0.979185,1.289297,0.913439,0.937600,1.794278,0.862547,1.679062,1.827882,1.931416,0.893181,0.000000,0.000000,0.871909,1.863381,1.830392,1.771356,0.000000,1.451235,1.460428,0.768630,0.979541,0.000000,1.857892,3.536135,2.150217,0.842850,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.685714,3.848393,4.620256,4.746009,4.761397,4.639880,0.882319,5.395873,2.653361"
144,"0.438166,1.313962,1.627064,2.101939,0.000000,2.250169,1.335496,0.763875,2.110888,0.487824,2.453668,0.000000,1.213838,0.000000,0.707748,3.235271,1.471133,0.000000,2.152788,1.727885,0.000000,0.000000,0.598847,0.540864,1.684246,0.398743,1.156609,0.000000,0.000000,1.324641,0.000000,0.000000,0.265785,0.561157,0.000000,0.806676,0.000000,0.000000,0.706212,0.738630,1.298049,1.286744,1.115636,2.100211,0.000000,0.000000,0.000000,0.704947,0.737646,0.442927,0.000000,1.934532,0.000000,0.000000,1.223059,0.929323,0.927780,1.574782,0.909397,0.816241,0.000000,1.608454,0.000000,0.000000,0.679330,0.771420,0.867850,0.000000,0.794716,1.652765,0.819490,0.927249,0.901808,3.428697,0.607581,1.570624,0.000000,0.768621,0.838389,0.000000,0.767438,0.000000,1.479805,1.314069,0.000000,0.000000,0.777692,0.871778,1.258570,1.502422,1.845152"
